family
son
children
daughter
father
mother
brother
sister
siblings
mom
dad
grandmother
grandfather
husband
wife
uncle
aunt
boyfriend
girlfriend
cousin
spouse
groom
bride
grandchild
grandson
granddaughter
relative
nephew
niece
widow
widower
brother-in-law
sister-in-law
grandparent
parent
godparent
great grandparent
father-in-law
mother-in-law
little brother
big brother
little sister
big sister
