animal
horse
dog
cat
bird
bird
cow
bull
livestock
fish
lion
fly
hen
pig
chicken
monkey
rat
insect
sheep
dove
mouse
rooster
butterfly
wolf
snake
rabbit
ant
bear
worm
tiger
donkey
spider
bee
ox
duck
goat
elephant
eagle
mosquito
toad
little bird
frog
turtle
fox
viper
bat
cricket
swan
whale
raven
seagull
