antworten
bekommen
bestehen
beginnen
bedeuten
bezeichnen
betreffen
bestimmen
beschreiben
befinden
betrachten
bewegen
besitzen
berichten
beobachten
beschäftigen
beteiligin
betonen
bezahlen
besuchen
berechnen
betragen
beziehen
bestätigen
benötigen
behandeln
entstehen
entsprechen
entwickeln
entscheiden
enthalten
entdecken
erklären
erzählen
erhalten
erreichen
