anfangen
ansehen
annehmen
anbieten
ankommen
angeben
anschauen
aufnehmen
auftreten
aufbauen
aufstehen
aufhören
aussehen
ausgehen
dartstellen
eingehen
einsetzen
feststellen
vortstellen
vorkommen
vorliegen
