sein
haben
werden
können
sagen
müssen
geben
wollen
machen
sollen
kommen
gehen
wissen
sehen
lassen
stehen
leben
finden
liegen
bleiben
tun
heißen
denken
stellen
zeigen
nehmen
dürfen
hören
fragen
glauben
halten
gelten
folgen
führen
sprechen
bringen
mögen
brauchen
schreiben
nennen
ziehen
spielen
bekommen
verstehen
meinen
fahren
kennen
setzen
sitzen
arbeiten
erklären
bestehen
versuchen
beginnen
laufen
entsprechen
treffen
erzählen
entstellen
tragen
scheinen
aussehen
schaffen
erhalten
lernen
suchen
handeln
lesen
erreichen
vergehen
verlieren
bilden
steigen
essen
fallen
helfen
schließen
legen
erkennen
vorstellen
warten
treten
reden
gewinnen
entwickeln
passieren
vergleichen
erwarten
fühlen
erinnern
bedeuten
dartstellen
wirken
bezeichnen
erscheinen
betreffen
entscheiden
ergeben
bestimmen
