France
French
Frenchman
England
English
Englishman
China
Chinese
Japan
Japanese
Korean
Switzerland
Swiss
Germany
German
Austria
Austrian
Belgium
Belgian
Spain
Spanish
Spaniard
USA
American
Netherlands
Dutch
Dutchman
Vietnam
Vietnamese
Russia
Russian
Brazil
Brazilian
Canada
Canadian
Italy
Italian
