street
road
route
path
highway
alley
harbor
port
flight
traffic
walk
ride
transit
airport
driver
subway
car
boat
ship
train
airplane
vehicle
automobile
cart
truck
van
railway
spacecraft
taxi
bicycle
vessel
tram
streetcar
bus
rocket
carriage
wagon
helicopter
motorbike
tank
